fixation_omission_rate,fixation_regression_rate,max_regression_distance,max_skip_distance,mean_FFD,mean_GD,mean_GPT,mean_TRT,mean_meanPupilSize,mean_nFixations,participant_id,regressed_words,regressed_words_count,regression_pairs,sentence_content,sentence_id,sentence_length,skip_pairs,skipped_then_regressed_proportion,skipped_words,skipped_words_count,word_regression_rate,word_sequence,word_skip_rate
0.06666666666666667,0.25,3,1,120.85714285714286,143.57142857142858,348.14285714285717,290.57142857142856,1691.3452380952383,2.2857142857142856,ZKW,"0,2,12",3,"(2,0); (13,12); (5,2)","With his interest in race cars, he formed a second company, the Henry Ford Company.",0,15,"(2,4); (4,6); (7,9); (6,8)",0.0,"3,5,7,8",4,0.2,"0,1,2,4,4,6,7,9,10,11,11,12,13,13,2,0,1,2,3,4,6,8,9,10,11,13,13,12,13,5,2",0.26666666666666666
0.07407407407407407,0.2153846153846154,4,5,145.76,204.36,414.92,375.2,1560.4742222222221,2.6,ZKW,"9,23",2,"(13,9); (24,23)","During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",1,27,"(1,3); (7,13); (10,12); (15,17); (17,19)",0.5,"2,8,9,10,11,12,16,18",9,0.07407407407407407,"0,0,0,0,1,3,4,4,5,6,7,7,7,13,9,9,10,12,13,14,15,15,17,19,20,21,21,22,23,24,25,26,14,7,0,1,2,3,4,5,6,7,7,7,7,7,9,10,10,13,14,15,16,17,18,18,20,21,22,24,23,24,24,25,26",0.3333333333333333
0.13043478260869565,0.3235294117647059,2,9,132.65,159.5,303.0,248.65,1394.675,1.7,ZKW,"1,11",2,"(13,11); (2,1)","Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",2,23,"(0,10); (3,6); (7,9)",0.5,"1,2,3,4,5,6,7,8,9",12,0.08695652173913043,"0,10,0,1,2,3,6,7,9,9,10,10,11,12,13,14,15,16,17,18,19,20,20,21,22,22,11,2,13,11,22,2,1",0.5217391304347826
0.13513513513513514,0.34545454545454546,5,2,129.59375,173.125,481.625,449.65625,1369.2551767676769,3.4375,ZKW,"1,2,4,5,8,9,10,19,32,33",15,"(6,2); (9,8); (13,10); (10,9); (9,8); (8,5); (5,4); (33,32); (15,10); (33,32); (36,33); (2,1); (2,1); (10,9); (20,19)","In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",3,37,"(3,5); (6,8); (11,14); (14,16); (17,19); (19,21); (23,25); (25,27); (28,30); (32,34); (17,20); (23,26)",0.3,"4,7,12,13,15,18,19,20,24,25,26,29,33",15,0.40540540540540543,"1,1,2,3,5,6,2,2,5,6,8,9,9,8,9,9,9,1,9,10,10,11,12,13,10,9,9,8,5,4,10,10,11,14,14,16,17,19,19,19,21,22,23,25,25,27,28,30,31,31,32,33,32,34,34,34,21,15,10,33,32,34,35,36,36,33,23,25,14,1,2,1,1,2,1,2,3,4,5,6,8,9,9,10,10,9,10,11,13,13,14,16,17,17,20,19,19,20,22,23,26,27,28,31,32,34,35,35,1,1",0.40540540540540543
0.12,0.2916666666666667,4,2,129.95454545454547,156.22727272727272,315.6818181818182,293.77272727272725,1456.6424242424243,2.1818181818181817,ZKW,"4,5,9,17,18,19,20,21",9,"(5,4); (6,5); (10,9); (18,17); (23,21); (21,19); (22,18); (22,20); (20,19)","These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",4,25,"(5,7); (7,10); (9,11); (16,18); (21,23); (20,22)",0.375,"6,8,9,10,17,21,22",7,0.36,"1,2,2,3,4,5,4,5,6,5,7,7,10,9,11,11,12,13,14,15,15,16,18,18,17,18,19,20,21,23,21,19,20,22,18,21,23,3,4,4,22,20,20,19,20,22,3,4",0.28
0.06060606060606061,0.34146341463414637,3,14,106.29032258064517,144.5483870967742,437.06451612903226,354.83870967741933,1401.1634897360702,2.6451612903225805,ZKW,"0,1,10,11,12,21,23,24,25,28,30,31",14,"(2,1); (1,0); (12,10); (13,12); (26,23); (23,21); (27,25); (25,24); (31,28); (32,31); (31,30); (12,10); (13,11); (32,30)","Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",5,33,"(0,2); (1,3); (9,12); (10,13); (12,15); (1,16); (18,20); (22,24); (25,27); (27,31)",0.5833333333333334,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,23,26,28,29,30",28,0.42424242424242425,"0,2,1,0,1,3,4,5,6,7,8,8,9,12,10,13,12,15,15,15,15,1,16,16,17,18,20,21,22,24,25,26,23,23,23,23,21,23,23,23,23,23,23,23,25,27,25,24,26,26,27,27,27,27,27,31,28,28,29,30,31,32,31,30,32,24,25,8,8,9,12,10,13,11,15,15,16,17,20,32,30",0.8484848484848485
0.07692307692307693,0.35135135135135137,5,5,121.0,151.0,473.3333333333333,392.0833333333333,1654.423611111111,3.0833333333333335,ZKW,"1,2,3,6,7",9,"(7,2); (4,3); (8,7); (7,6); (2,1); (3,2); (2,1); (4,3); (8,6)","In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",6,13,"(1,7); (6,8)",0.8,"2,3,4,5,6,7",6,0.6923076923076923,"1,7,2,3,4,3,4,5,6,6,8,7,6,7,8,8,9,10,10,11,12,2,1,3,2,1,3,4,3,4,6,6,8,6,8,10,10",0.46153846153846156
0.22727272727272727,0.10526315789473684,0,2,132.64705882352942,132.64705882352942,157.76470588235293,157.76470588235293,1251.1764705882354,1.1176470588235294,ZKW,,0,,There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,7,22,"(0,3); (4,6); (8,10); (19,21)",0.0,"1,2,5,9,20",5,0.0,"0,3,4,6,7,8,10,11,12,13,14,15,16,17,18,19,21,11,0",0.22727272727272727
0.17073170731707318,0.3157894736842105,5,5,117.6470588235294,160.58823529411765,298.3235294117647,267.1470588235294,1226.7985294117648,2.235294117647059,ZKW,"12,18,20,28,31",7,"(14,12); (19,18); (22,20); (25,20); (29,28); (29,28); (32,31)","This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",8,41,"(3,5); (5,7); (16,18); (18,22); (22,24); (20,26); (26,29); (32,34); (34,36); (31,33)",0.4,"4,6,17,19,20,21,22,23,24,25,27,28,32,33,35",17,0.17073170731707318,"1,2,3,5,7,7,8,9,10,10,11,12,12,13,14,12,14,15,16,18,19,18,18,22,20,20,20,21,21,22,22,22,22,24,24,25,20,26,26,29,28,29,30,31,32,34,36,36,37,37,38,38,39,40,34,26,29,28,30,31,32,31,33,34,36,36,37,38,39,24,30,11,1",0.4146341463414634
0.1,0.4205607476635514,5,9,114.29629629629629,133.33333333333334,519.4074074074074,430.5925925925926,1284.3364838864838,3.962962962962963,ZKW,"3,4,8,10,13,15,16,19,20,22,24,25,26,27,28",26,"(4,3); (13,8); (21,20); (21,20); (24,22); (25,24); (24,22); (22,20); (25,20); (29,27); (28,27); (27,26); (29,28); (29,25); (25,22); (22,20); (29,24); (24,20); (20,19); (19,16); (16,15); (15,13); (13,10); (4,3); (7,4); (20,19)","Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H.",9,30,"(0,10); (11,13); (4,6); (10,12); (13,15); (17,19); (22,24); (22,25); (20,29); (0,2); (3,5); (5,7)",0.6,"1,2,3,4,5,6,7,8,9,11,12,14,18,21,22,23,24,25,26,27,28",28,0.8666666666666667,"0,10,4,10,11,13,3,4,3,4,6,13,8,9,10,12,13,15,16,17,19,19,19,20,20,21,20,20,21,20,21,22,24,22,25,24,24,22,20,22,22,25,25,25,20,29,27,28,27,26,29,28,29,25,22,20,28,28,29,24,20,19,16,15,13,10,10,0,2,4,3,5,7,4,8,9,10,12,13,15,16,17,19,19,19,20,19,20,27,29,0",0.9333333333333333
0.18181818181818182,0.3333333333333333,3,3,118.88888888888889,137.77777777777777,386.22222222222223,371.0,1447.3851851851853,3.0,ZKW,"0,4,5",4,"(5,4); (8,5); (5,4); (3,0)",Henry Ford advocated long-time associate Harry Bennett to take the spot.,10,11,"(4,8); (4,6); (8,10)",0.3333333333333333,"5,6,7,9",5,0.36363636363636365,"0,1,2,2,3,3,4,5,4,8,5,4,6,8,2,2,2,3,0,3,3,4,5,5,8,10,0",0.45454545454545453
